BucketKey;ActiveHeatMode;RT;OT;RG;Count;AvgDelayMin;MinDelayMin;MaxDelayMin;LastDelayMin;LastEpochMin;Bin_0_3;Bin_3_6;Bin_6_9;Bin_9_12;Bin_12_15;Bin_15_18;Bin_18_21;Bin_21_24;Bin_24_27;Bin_27_30;Bin_30_33;Bin_33_36;Bin_36_39;Bin_39_42;Bin_42_45;Bin_45_48;Bin_48_51;Bin_51_54;Bin_54_57;Bin_57_60
EVO Home__RT0__OT1__RG0;EVO Home;RT0;OT1;RG0;1;17;17;17;17;29497416;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EVO Home__RT1__OT1__RG4;EVO Home;RT1;OT1;RG4;1;21;21;21;21;29501642;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
EVO Home+__RT1__OT1__RG4;EVO Home+;RT1;OT1;RG4;1;36;36;36;36;29519009;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
EVO Home__RT0__OT2__RG4;EVO Home;RT0;OT2;RG4;5;26,800000;4;79;24;29505975;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1
EVO Home+__RT0__OT2__RG4;EVO Home+;RT0;OT2;RG4;2;23,500000;9;38;38;29516568;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
EVO Home__RT1__OT2__RG4;EVO Home;RT1;OT2;RG4;2;15,500000;5;26;26;29511750;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
EVO Home+__RT1__OT2__RG4;EVO Home+;RT1;OT2;RG4;5;19,400000;8;32;32;29520478;0;0;1;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0
EVO Home+__RT2__OT2__RG2;EVO Home+;RT2;OT2;RG2;1;24;24;24;24;29502306;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
EVO Home+__RT2__OT2__RG3;EVO Home+;RT2;OT2;RG3;3;35,670000;4;57;4;29511083;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
EVO Home+__RT2__OT2__RG4;EVO Home+;RT2;OT2;RG4;1;31;31;31;31;29521001;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
EVO Home+__RT3__OT2__RG2;EVO Home+;RT3;OT2;RG2;1;4;4;4;4;29516686;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EVO Home+__RT3__OT2__RG3;EVO Home+;RT3;OT2;RG3;6;38;10;46;43;29520749;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0;0
EVO Home+__RT0__OT3__RG4;EVO Home+;RT0;OT3;RG4;1;22;22;22;22;29505084;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Hybride__RT0__OT3__RG4;Hybride;RT0;OT3;RG4;2;17,500000;14;21;14;29514626;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Hybride+__RT0__OT3__RG4;Hybride+;RT0;OT3;RG4;1;31;31;31;31;29506461;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
EVO Home+__RT1__OT3__RG4;EVO Home+;RT1;OT3;RG4;1;24;24;24;24;29507402;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Hybride__RT1__OT3__RG4;Hybride;RT1;OT3;RG4;4;20,500000;18;27;18;29513574;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
Hybride+__RT1__OT3__RG4;Hybride+;RT1;OT3;RG4;2;13;8;18;18;29515139;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Hybride+__RT2__OT3__RG2;Hybride+;RT2;OT3;RG2;1;11;11;11;11;29512278;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EVO Home+__RT2__OT3__RG3;EVO Home+;RT2;OT3;RG3;2;42,500000;37;48;48;29505225;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Hybride__RT2__OT3__RG3;Hybride;RT2;OT3;RG3;2;21;13;29;13;29513300;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Hybride+__RT2__OT3__RG3;Hybride+;RT2;OT3;RG3;2;37,500000;33;42;42;29512586;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Hybride+__RT2__OT3__RG4;Hybride+;RT2;OT3;RG4;1;39;39;39;39;29514003;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Hybride+__RT3__OT3__RG2;Hybride+;RT3;OT3;RG2;1;44;44;44;44;29506520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
EVO Home+__RT3__OT3__RG3;EVO Home+;RT3;OT3;RG3;3;48;45;52;45;29497558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0
Hybride+__RT3__OT3__RG3;Hybride+;RT3;OT3;RG3;5;29,800000;7;53;39;29509130;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0
Hybride+__RT3__OT3__RG4;Hybride+;RT3;OT3;RG4;2;23,500000;5;42;42;29499652;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
